order_id,customer_id,order_date,order_status,payment_method,shipping_address,total_amount
ORD_00000019,CUST_000657,2025-03-07,Processing,Bank Transfer,"003 Johnson Street
West Jillian, NY 24510",4220.25
ORD_00000020,CUST_000811,2024-11-27,Processing,Credit Card,"20310 Sanders Haven Suite 518
Thomashaven, NM 94367",1638.52
ORD_00000021,CUST_000411,2025-05-03,Processing,PayPal,"8795 Haynes Neck Apt. 149
South Samanthaport, MT 09287",4198.71
ORD_00000022,CUST_000322,2025-01-28,Cancelled,Credit Card,"239 Davis Plain Apt. 278
Longchester, ND 87045",93.46
ORD_00000023,CUST_000114,2025-05-31,Processing,Debit Card,"00326 Brown Forks Apt. 524
North Josephburgh, AZ 96751",902.58
ORD_00000024,CUST_000529,2024-11-15,Processing,Bank Transfer,"35294 Alvarez Center
Lake Veronica, WV 75174",2253.02
ORD_00000025,CUST_000812,2024-11-05,Shipped,Bank Transfer,"492 Brown Trail
Jamiechester, ND 58725",1598.02
ORD_00000026,CUST_000490,2024-10-29,Processing,PayPal,"7621 Matthew Roads Suite 614
Port David, WA 26371",2415.48
ORD_00000027,CUST_000178,2025-05-14,Cancelled,PayPal,"PSC 3489, Box 9531
APO AE 07123",43.12
ORD_00000028,CUST_000819,2024-06-17,Shipped,Debit Card,"0024 Tiffany Mission
East Richardview, HI 32436",3743.8
ORD_00000029,CUST_000087,2025-03-25,Delivered,PayPal,"34241 Wilkerson Mill
Port Williamfort, VI 52081",4433.65
ORD_00000030,CUST_000187,2024-08-04,Delivered,Bank Transfer,"9429 Corey Via Apt. 727
Amberberg, CO 93370",690.88
ORD_00000031,CUST_000968,2024-10-08,Cancelled,Debit Card,"0796 Christopher Divide Suite 049
Velasquezchester, UT 84894",1419.27
ORD_00000032,CUST_000022,2025-05-28,Pending,Debit Card,"2714 Washington Manors Suite 868
Martinborough, NV 67546",5321.43
ORD_00000033,CUST_000929,2024-10-20,Pending,Bank Transfer,"71219 Melissa Shoal Apt. 767
Lake Michellefort, SC 01983",2949.8
ORD_00000034,CUST_000204,2024-06-06,Shipped,Debit Card,"624 Rogers Mills Suite 300
New Amy, NY 84010",3969.64
ORD_00000035,CUST_000051,2025-03-09,Delivered,Bank Transfer,"5949 Donna Walk Suite 849
Terryborough, UT 23886",1598.17
ORD_00000036,CUST_000615,2024-06-08,Shipped,Debit Card,"68687 Deborah Ford
Richardsonfort, ND 48740",4183.81
ORD_00000037,CUST_000092,2025-03-20,Shipped,Debit Card,"653 Bethany Green Suite 430
East Davidburgh, MI 60858",7941.17
ORD_00000038,CUST_000970,2024-10-19,Cancelled,Credit Card,"66435 Ashley Villages
Mitchellmouth, IN 13351",5577.27
ORD_00000039,CUST_000015,2024-09-18,Cancelled,Bank Transfer,"2247 Patterson Flats Apt. 807
North Brandonview, MD 69394",1958.53
ORD_00000040,CUST_000792,2025-03-15,Delivered,Bank Transfer,"1793 Salazar Rapids Apt. 393
New James, ID 69573",6326.54
ORD_00000041,CUST_000122,2024-11-16,Processing,Debit Card,"689 Michael Crossing
Clarkchester, ND 13935",2270.71
ORD_00000042,CUST_000196,2025-05-05,Shipped,PayPal,"235 Travis Views
South Amy, NM 31020",9041.71
ORD_00000043,CUST_000765,2025-03-01,Delivered,Bank Transfer,"980 Mcmahon Glens
Johnsonborough, IL 38422",810.12
ORD_00000044,CUST_000134,2024-08-09,Delivered,Debit Card,"PSC 9508, Box 6722
APO AA 87357",99.53
ORD_00000045,CUST_000615,2025-01-23,Processing,PayPal,"76777 Nixon Skyway
Lake Carolyn, CA 70332",2090.17
ORD_00000046,CUST_000745,2025-06-05,Processing,Bank Transfer,"Unit 0597 Box 4689
DPO AP 30342",5382.94
ORD_00000047,CUST_000185,2024-08-24,Delivered,Debit Card,"0624 Paul Centers Apt. 324
Jimenezfurt, MI 14745",733.9
ORD_00000048,CUST_000030,2024-12-16,Shipped,PayPal,"866 Jason Prairie
Andrewbury, MN 62439",2019.64
ORD_00000049,CUST_000242,2024-08-11,Cancelled,Bank Transfer,"857 Lindsey Shore
Austinmouth, DC 72951",2174.85
ORD_00000050,CUST_000930,2025-05-11,Processing,PayPal,"580 Beth Valleys
Hamiltonshire, GA 91893",6925.57
ORD_00000051,CUST_000597,2025-05-29,Delivered,Credit Card,"051 Jensen Inlet Suite 359
Brooksbury, MP 38131",2101.98
ORD_00000052,CUST_000011,2025-05-20,Delivered,Debit Card,"9961 Tony Stravenue Suite 722
East Heidi, ME 50159",2686.08
ORD_00000053,CUST_000893,2025-02-28,Shipped,Bank Transfer,"30027 Derek Trail Suite 076
Gallagherchester, UT 74294",736.31
ORD_00000054,CUST_000704,2024-09-03,Processing,Bank Transfer,"1453 Banks Springs
North Sarahhaven, MH 09724",1057.74
ORD_00000055,CUST_000726,2024-08-01,Delivered,PayPal,"USS Jimenez
FPO AE 07665",9605.03
ORD_00000056,CUST_000075,2024-06-15,Pending,Credit Card,"5859 Michelle Shore
Port Douglas, KS 34073",5585.45
ORD_00000057,CUST_000054,2024-09-30,Shipped,Debit Card,"USNV White
FPO AE 17169",329.42
ORD_00000058,CUST_000483,2024-07-11,Shipped,Credit Card,"1399 Rios Mission Suite 993
North John, CO 42028",6976.67
ORD_00000059,CUST_000006,2024-11-11,Shipped,Bank Transfer,"0569 Erickson Bridge
Shortborough, MT 15177",4675.59
ORD_00000060,CUST_000310,2025-01-30,Delivered,PayPal,"740 Caleb Views
North Gloria, OK 79292",3230.75
ORD_00000061,CUST_000136,2024-08-28,Cancelled,Credit Card,"5287 Taylor Ports
North Kimberly, HI 72917",3258.04
ORD_00000062,CUST_000595,2024-09-19,Processing,PayPal,"505 Lin Points
Lake Daniel, CT 20131",7681.88
ORD_00000063,CUST_000174,2025-01-30,Cancelled,Bank Transfer,"896 Baker Plaza Apt. 844
New Morganside, MP 56582",4347.64
ORD_00000064,CUST_000953,2024-10-13,Shipped,Bank Transfer,"270 King Mount
Alyssaton, MA 52813",3527.56
ORD_00000065,CUST_000136,2024-10-23,Pending,PayPal,"6094 Sims Well
West Alexville, DC 88684",8211.36
ORD_00000066,CUST_000728,2025-03-17,Cancelled,Bank Transfer,"66566 Meghan Village Suite 059
Port Williamstad, SD 49340",1921.81
ORD_00000067,CUST_000146,2025-02-15,Shipped,Credit Card,"937 Brandy Rapids Suite 743
Hernandezshire, MP 78302",6554.68
ORD_00000068,CUST_000321,2024-06-21,Pending,Debit Card,"96091 Devin Manors
Tylerport, HI 33421",6100.48
ORD_00000069,CUST_000512,2025-02-08,Shipped,PayPal,"19026 Gill Dale
South Shannon, SC 72880",4456.08
ORD_00000070,CUST_000949,2024-07-15,Delivered,PayPal,"98314 Good Gateway
Fergusontown, IL 40961",6575.03
ORD_00000071,CUST_000925,2024-10-25,Shipped,PayPal,"742 Butler Lodge
Gutierrezside, AZ 98532",553.4
ORD_00000072,CUST_000530,2025-02-01,Shipped,Bank Transfer,"05895 Amy Islands
Collierton, PW 12629",1503.74
ORD_00000073,CUST_000915,2025-04-14,Processing,PayPal,"8180 Gibson Station Suite 914
West Elizabethville, LA 36034",8616.28
ORD_00000074,CUST_000755,2024-11-09,Delivered,Debit Card,"1710 Mikayla Lodge Suite 626
Pattersonside, MN 38576",733.47
ORD_00000075,CUST_000570,2025-04-15,Delivered,Credit Card,"63776 Ward River Suite 990
Lake Jeremy, LA 17904",8016.54
ORD_00000076,CUST_000194,2024-08-30,Processing,Credit Card,"2266 Dixon Inlet
New Deborahville, ME 50954",3472.25
ORD_00000077,CUST_000236,2025-04-26,Processing,Credit Card,"3580 Walton Flats
Lake Michaelborough, CA 89309",1313.9
ORD_00000078,CUST_000482,2025-05-30,Shipped,Debit Card,"70278 Wells Hills
Stephenshire, WY 25592",8246.68
ORD_00000079,CUST_000723,2024-11-16,Delivered,Bank Transfer,"176 Chelsey Ways
Grantburgh, MI 68952",1637.36
ORD_00000080,CUST_000119,2024-12-22,Delivered,Credit Card,"313 Horton Springs Suite 408
Parkerview, AK 59696",371.92
ORD_00000081,CUST_000453,2024-08-16,Shipped,Bank Transfer,"75657 Lawrence Valleys Apt. 618
Lake Keith, FL 43597",1043.96
ORD_00000082,CUST_000469,2024-07-21,Delivered,Credit Card,"5519 Keith Land Apt. 863
Amytown, CA 56327",3234.8
ORD_00000083,CUST_000867,2025-04-11,Processing,Credit Card,"64914 Nguyen Gardens Suite 520
Port Michaelville, KY 57567",5552.1
ORD_00000084,CUST_000358,2025-05-16,Pending,Debit Card,"57337 Huang Path Suite 091
West Charles, NM 66932",10198.5
ORD_00000085,CUST_000890,2024-07-01,Shipped,Debit Card,"95714 Garcia Prairie Suite 149
Markborough, ND 64246",677.32
ORD_00000086,CUST_000855,2025-04-15,Processing,PayPal,"2966 Megan Path
New Jonathanhaven, NC 09490",761.31
ORD_00000087,CUST_000577,2024-10-24,Cancelled,Debit Card,"2309 Stanley Brook
Jenniferfurt, KY 33366",463.52
ORD_00000088,CUST_000598,2024-10-08,Pending,Debit Card,"0451 William Villages
Hallton, AK 23746",4053.53
ORD_00000089,CUST_000427,2024-12-03,Pending,Debit Card,"272 Jamie Parks
Port Ronald, PR 42965",3666.88
ORD_00000090,CUST_000787,2024-06-27,Delivered,Credit Card,"605 Jorge Fort
Jasonberg, GA 55331",1127.11
ORD_00000091,CUST_000909,2025-03-10,Shipped,Credit Card,"9305 Susan Port Suite 345
East Ericastad, AS 81054",3769.99
ORD_00000092,CUST_000292,2025-01-06,Pending,Bank Transfer,"60098 Moore Glens Apt. 514
North Sabrina, MS 38637",5029.13
ORD_00000093,CUST_000383,2024-07-09,Cancelled,Credit Card,"365 Collins Causeway
Lake Michael, LA 23220",3236.37
ORD_00000094,CUST_000858,2024-11-09,Shipped,Debit Card,"922 Abigail Ford
Melissaborough, ND 85209",2464.14
ORD_00000095,CUST_000030,2025-01-10,Pending,Bank Transfer,"PSC 4589, Box 2251
APO AP 63754",2085.65
ORD_00000096,CUST_000851,2024-09-16,Delivered,Bank Transfer,"497 Kelly Lakes
Curtishaven, PR 67752",1951.68
ORD_00000097,CUST_000644,2025-02-07,Shipped,Credit Card,"3836 Russell Key Suite 031
North Garyland, IA 29926",6639.62
ORD_00000098,CUST_000338,2025-01-27,Pending,Bank Transfer,"USCGC Kelly
FPO AE 84518",7130.02
ORD_00000099,CUST_000333,2025-03-17,Cancelled,Debit Card,"44835 Lowe Trace
Karenmouth, LA 74412",600.39
ORD_00000100,CUST_000217,2024-12-08,Pending,PayPal,"683 Michael Landing
Jasonborough, MA 90842",553.3
ORD_00000101,CUST_000331,2024-09-05,Pending,Credit Card,"51734 Fisher Vista
Port Ryanside, VA 75737",1867.2
ORD_00000102,CUST_000561,2025-01-26,Cancelled,Bank Transfer,"471 Alvarez Islands
Snowtown, ND 06585",5718.45
ORD_00000103,CUST_000095,2025-02-04,Delivered,PayPal,"22123 Woodward Coves
North Michelle, MT 78660",9716.97
ORD_00000104,CUST_000183,2024-12-10,Processing,Bank Transfer,"541 Cherry Expressway
Fuentesberg, MT 97995",3898.04
ORD_00000105,CUST_000092,2025-06-06,Pending,Debit Card,"5371 Brewer Grove Suite 196
Stephensmouth, NM 72649",4421.36
ORD_00000106,CUST_000167,2024-12-06,Delivered,Bank Transfer,"159 Jared Manors
Jacobburgh, VT 90434",1767.98
ORD_00000107,CUST_000292,2024-10-27,Processing,Credit Card,"9033 Carson Port Apt. 105
Millermouth, IA 23568",9566.65
ORD_00000108,CUST_000306,2024-08-18,Delivered,Bank Transfer,"5527 Kim Tunnel Apt. 602
West Ruben, AK 89093",2867.71
ORD_00000109,CUST_000754,2025-01-05,Shipped,Debit Card,"919 Smith Square Suite 796
Lake Alicia, CT 75145",5092.94
ORD_00000110,CUST_000368,2025-06-06,Pending,PayPal,"746 Glenn Shoals Apt. 900
West Christopher, MA 15322",3510.94
ORD_00000111,CUST_000525,2024-12-03,Processing,Bank Transfer,"PSC 8637, Box 3533
APO AE 62565",7733.7
ORD_00000112,CUST_000457,2024-06-18,Delivered,Bank Transfer,"6868 Li Village Suite 311
Martinland, AR 93875",4646.9
ORD_00000113,CUST_000275,2025-02-06,Cancelled,Bank Transfer,"9473 Gross Spur
Kaitlynland, AK 45054",14565.8
ORD_00000114,CUST_000093,2024-10-13,Delivered,PayPal,"02759 Williams Roads
Amymouth, PA 25280",2765.92
ORD_00000115,CUST_000629,2025-06-02,Processing,Bank Transfer,"42314 Hammond Expressway Apt. 258
Williamsberg, SD 01142",4769.28
ORD_00000116,CUST_000646,2025-03-09,Delivered,Credit Card,"PSC 1804, Box 0999
APO AE 42046",1703.7
ORD_00000117,CUST_000042,2024-07-21,Cancelled,PayPal,"USS Carter
FPO AA 08310",4962.05
ORD_00000118,CUST_000997,2024-12-27,Delivered,Debit Card,"347 Espinoza Rapid
Stoutchester, KS 09959",2628.29
ORD_00000119,CUST_000664,2025-04-27,Processing,Bank Transfer,"7254 Holly Streets Apt. 453
Smithport, DC 33728",4102.8
ORD_00000120,CUST_000540,2024-06-15,Cancelled,Credit Card,"USCGC Campbell
FPO AP 36735",1441.36
ORD_00000121,CUST_000298,2024-07-26,Delivered,Bank Transfer,"527 Gordon Fall Apt. 918
East Elijahfurt, MS 16613",4119.43
ORD_00000122,CUST_000082,2025-05-14,Delivered,PayPal,"702 Cathy Ville
Matthewstown, PA 57559",785.94
ORD_00000123,CUST_000153,2025-02-07,Processing,PayPal,"591 Taylor Run
East David, AR 18231",6253.68
ORD_00000124,CUST_000862,2025-02-06,Processing,Bank Transfer,"79708 Williams Rue
South Kathryn, PW 45797",1908.68
ORD_00000125,CUST_000303,2024-12-24,Cancelled,Credit Card,"71720 Marcus Garden Apt. 003
West Stephanie, OK 54989",717.92
ORD_00000126,CUST_000565,2024-09-13,Pending,Credit Card,"31151 Gordon Ridge
Valerieport, GA 18984",806.08
ORD_00000127,CUST_000526,2024-11-03,Pending,Bank Transfer,"4309 Wendy Row
Heatherville, IA 10472",3631.53
ORD_00000128,CUST_000423,2024-10-14,Pending,Bank Transfer,"66713 Torres Squares Apt. 514
Garyhaven, WV 84244",195.1
ORD_00000129,CUST_000677,2024-07-25,Cancelled,PayPal,"348 Hardy View Suite 993
Caitlinchester, MI 57927",11133.71
ORD_00000130,CUST_000364,2024-11-19,Shipped,Credit Card,"2197 Tiffany Loaf
Adamchester, LA 12079",8084.05
ORD_00000131,CUST_000788,2024-07-28,Cancelled,Credit Card,"USS Morris
FPO AE 20891",5273.69
ORD_00000132,CUST_000117,2024-09-26,Delivered,Debit Card,"Unit 8307 Box 5016
DPO AE 19079",3841.5
ORD_00000133,CUST_000806,2024-12-05,Processing,Bank Transfer,"491 Garcia Brook
Davidfurt, ID 54687",3066.0
ORD_00000134,CUST_000047,2025-05-13,Pending,Bank Transfer,"126 Sutton Haven
South Tom, NY 85419",6184.99
ORD_00000135,CUST_000898,2025-05-17,Shipped,PayPal,"4672 Carlson Lodge Apt. 013
East David, RI 74024",1658.19
ORD_00000136,CUST_000602,2025-03-02,Delivered,Bank Transfer,"USNS Cain
FPO AA 00653",11037.73
ORD_00000137,CUST_000639,2024-08-07,Shipped,PayPal,"USCGC Martinez
FPO AP 50938",277.52
ORD_00000138,CUST_000990,2024-07-01,Processing,Debit Card,"185 Kyle Mount Suite 616
Port Jasonport, OR 43267",1993.07
ORD_00000139,CUST_000190,2025-05-28,Pending,PayPal,"8228 Knight Station
Jonesland, WV 01913",10573.69
ORD_00000140,CUST_000893,2024-12-30,Pending,Bank Transfer,"592 Eric Junction
Roseton, PW 72218",1232.13
ORD_00000141,CUST_000548,2024-12-07,Pending,Credit Card,"9030 Justin Summit
Doyleland, CO 24619",257.22
ORD_00000142,CUST_000405,2024-06-24,Pending,Credit Card,"238 Little Village
Jacquelineville, UT 90556",7418.9
ORD_00000143,CUST_000176,2024-07-26,Delivered,Bank Transfer,"2230 John Street
East Jeffrey, ND 81410",5179.42
ORD_00000144,CUST_000709,2025-02-08,Delivered,Bank Transfer,"99773 Guzman Mill
Pricemouth, ND 20997",7708.45
ORD_00000145,CUST_000311,2024-09-03,Cancelled,PayPal,"29665 Kevin Spur Suite 865
Nelsontown, MH 53314",358.22
ORD_00000146,CUST_000708,2024-08-01,Delivered,PayPal,"8499 Briana Squares
Thomasburgh, MP 77855",771.12
ORD_00000147,CUST_000090,2024-12-11,Processing,Debit Card,"84339 Yvonne Corner
Port Veronicamouth, OR 54268",5494.54
ORD_00000148,CUST_000015,2024-09-05,Processing,Credit Card,"74950 Campbell Vista Apt. 719
New Angela, SD 01283",2230.9
ORD_00000149,CUST_000836,2024-07-28,Pending,Debit Card,"61693 Lamb Groves Apt. 885
Lake Denisebury, DC 32027",718.56
ORD_00000150,CUST_000880,2024-12-08,Pending,Debit Card,"574 Benjamin Mountains
Hoburgh, MT 96100",6083.12
ORD_00000151,CUST_000493,2024-10-06,Processing,Debit Card,"58385 Leah Fort Suite 781
South Justinview, VT 57350",4901.02
ORD_00000152,CUST_000447,2024-11-03,Cancelled,Debit Card,"32901 Paige Village Apt. 585
Port Coreystad, NC 11146",7697.95
ORD_00000153,CUST_000089,2025-05-07,Shipped,Bank Transfer,"46023 Wright Junction
Hickshaven, OR 02433",728.59
ORD_00000154,CUST_000152,2024-07-11,Delivered,Bank Transfer,"123 Patterson Valleys
South Tylerfurt, MO 06932",7189.95
ORD_00000155,CUST_000023,2024-07-28,Pending,Debit Card,"8884 Hunt Spur
Mullenside, CA 81200",5009.8
ORD_00000156,CUST_000925,2024-08-17,Processing,Bank Transfer,"USNS Parker
FPO AP 58647",7586.02
ORD_00000157,CUST_000987,2025-03-06,Delivered,Bank Transfer,"47308 Jack Path
North Jason, VT 10806",7434.34
ORD_00000158,CUST_000021,2025-02-16,Delivered,Debit Card,"1430 Wolf Inlet
Bradleyside, SC 77663",1572.18
ORD_00000159,CUST_000207,2024-09-22,Shipped,Bank Transfer,"49001 Barnes Stravenue Apt. 345
North Jonathanstad, CO 87876",6308.4
ORD_00000160,CUST_000053,2024-07-07,Shipped,Credit Card,"76617 Paul Coves
Jenningsfurt, OH 96670",5656.69
ORD_00000161,CUST_000106,2024-09-11,Delivered,Bank Transfer,"098 Martinez Inlet
New Danielfurt, OK 52037",5461.03
ORD_00000162,CUST_000869,2025-01-13,Delivered,PayPal,"4055 Thomas Inlet Suite 721
Port Ashley, PR 26195",6058.1
ORD_00000163,CUST_000038,2025-01-29,Delivered,Bank Transfer,"916 Stephanie Groves
Stephaniefort, WA 92360",4357.38
ORD_00000164,CUST_000498,2024-08-02,Cancelled,Bank Transfer,"70668 Sanchez Mill
North Heidi, WY 48082",1201.62
ORD_00000165,CUST_000238,2025-03-20,Pending,Credit Card,"404 Williams Way Suite 712
Stewartstad, MS 91327",1612.15
ORD_00000166,CUST_000433,2024-09-15,Cancelled,PayPal,"6671 Ellis Turnpike Apt. 112
South Andrewhaven, UT 86633",7681.43
ORD_00000167,CUST_000567,2024-06-12,Pending,PayPal,"9679 Linda Lodge
West Jennifer, MA 18490",374.67
ORD_00000168,CUST_000915,2024-10-10,Delivered,Bank Transfer,"33598 Nichols Ville Suite 186
Port Alejandro, KS 27259",2443.53
ORD_00000169,CUST_000120,2024-09-16,Delivered,PayPal,"532 Hannah Alley Apt. 339
North Annette, KY 01465",2168.15
ORD_00000170,CUST_000460,2024-06-23,Delivered,Credit Card,"8490 Patricia Canyon Suite 650
Port Michael, OH 64522",630.41
ORD_00000171,CUST_000166,2024-06-19,Shipped,Debit Card,"590 Evelyn Mountain
West Peterfurt, PA 09413",3934.98
ORD_00000172,CUST_000481,2025-03-17,Shipped,Bank Transfer,"386 Schmidt Plains
South Dean, OR 54851",4239.22
ORD_00000173,CUST_000238,2024-07-05,Cancelled,Debit Card,"7177 Lopez Loop Suite 269
West Melissaside, SC 80994",9298.97
ORD_00000174,CUST_000602,2024-11-22,Shipped,Bank Transfer,"412 Murphy Estates
Goodwinfort, AZ 47898",2115.48
ORD_00000175,CUST_000135,2024-06-19,Shipped,Bank Transfer,"5056 Joseph Ville Apt. 888
Ramosshire, VT 48735",12105.87
ORD_00000176,CUST_000983,2025-04-18,Delivered,PayPal,"387 Samuel Harbors
West Nancytown, CT 32057",3454.52
ORD_00000177,CUST_000816,2024-09-15,Delivered,Debit Card,"82814 Kelly Fall Suite 786
Port Michael, NV 99143",1767.98
ORD_00000178,CUST_000637,2024-08-12,Processing,PayPal,"3308 John Island
Kylehaven, LA 33137",4139.4
ORD_00000179,CUST_000708,2025-05-24,Pending,Bank Transfer,"095 Mullen Loaf
Garciamouth, AS 94604",1026.51
ORD_00000180,CUST_000133,2025-02-04,Processing,Debit Card,"099 Heather Stravenue Suite 676
South Andrewshire, MN 15980",3021.9
ORD_00000181,CUST_000161,2024-07-09,Cancelled,Bank Transfer,"2576 Casey Stream Apt. 280
Shawnshire, UT 45515",9289.92
ORD_00000182,CUST_000104,2024-10-20,Delivered,Bank Transfer,"4415 York Village
Frazierton, PW 49570",1443.94
ORD_00000183,CUST_000311,2025-02-27,Processing,Debit Card,"PSC 7562, Box 2021
APO AA 42354",5852.66
ORD_00000184,CUST_000571,2024-12-20,Pending,Credit Card,"053 Johnson Summit
Lake Timothy, MO 92567",570.75
ORD_00000185,CUST_000368,2025-03-04,Shipped,PayPal,"Unit 7203 Box 2489
DPO AE 18953",3452.8
ORD_00000186,CUST_000694,2024-08-28,Processing,Debit Card,"6779 Walls Loaf Suite 324
Port Kellyport, FL 55363",8203.64
ORD_00000187,CUST_000848,2025-01-29,Cancelled,Credit Card,"7574 Mcguire Pines
Ericamouth, OH 49222",2677.68
ORD_00000188,CUST_000827,2024-10-28,Pending,PayPal,"924 Shane Garden
Paulberg, PR 86027",5084.48
ORD_00000189,CUST_000441,2025-01-17,Pending,Debit Card,"65228 Hester Fords Suite 118
Castillofurt, IA 34525",7180.41
ORD_00000190,CUST_000124,2025-06-04,Cancelled,Debit Card,"777 Wallace Lodge Apt. 971
East Carlosside, NV 23970",7117.76
ORD_00000191,CUST_000499,2024-12-05,Shipped,PayPal,"68886 Contreras Tunnel Suite 205
Lake Lorimouth, NJ 70622",6264.36
ORD_00000192,CUST_000804,2025-05-26,Shipped,Credit Card,"63465 Amanda Lodge
Kelseystad, IN 11759",4032.24
ORD_00000193,CUST_000789,2024-07-24,Cancelled,PayPal,"382 Hanson Place
Guerrerochester, MD 14662",1875.71
ORD_00000194,CUST_000918,2025-05-08,Processing,Credit Card,"17059 Christina Mountain Apt. 155
East Paul, CA 97227",3097.79
ORD_00000195,CUST_000724,2024-07-24,Pending,Bank Transfer,"Unit 5529 Box 5787
DPO AE 42072",4194.68
ORD_00000196,CUST_000819,2024-07-17,Delivered,Credit Card,"22711 Denise Parkway
North Douglasview, PA 68506",2903.73
ORD_00000197,CUST_000999,2024-06-24,Pending,Credit Card,"5557 Wright Spur Apt. 282
New Carlos, DC 87328",5048.79
ORD_00000198,CUST_000844,2025-02-19,Cancelled,Credit Card,"6949 Michael Passage
New Josephhaven, GU 99314",1585.04
ORD_00000199,CUST_000520,2024-12-04,Pending,Debit Card,"8456 Thomas Rue Apt. 702
Robinfurt, PR 80474",7035.62
ORD_00000200,CUST_000646,2024-12-15,Pending,Debit Card,"066 Ashley Mountain
North Lisa, FL 56296",10612.79
ORD_00000201,CUST_000933,2024-09-20,Shipped,Debit Card,"899 Thompson Grove Suite 463
East Jessicaview, WY 18823",926.41
ORD_00000202,CUST_000746,2025-02-12,Shipped,Bank Transfer,"4939 Brianna Course
East Devonburgh, WV 10198",4496.89
ORD_00000203,CUST_000781,2024-10-08,Cancelled,Bank Transfer,"851 Patrick Harbors
West Kellyville, VT 51318",3645.36
ORD_00000204,CUST_000751,2025-02-05,Pending,Debit Card,"0087 Alvarez Club
Port Brandonburgh, GA 95577",5330.35
ORD_00000205,CUST_000663,2024-11-10,Shipped,PayPal,"8432 Mcdonald Glens Suite 643
Port Bryanborough, DC 29110",4477.68
ORD_00000206,CUST_000839,2025-06-01,Processing,Credit Card,"3767 Brian Knolls Suite 821
Mcclureview, WV 45232",6545.44
ORD_00000207,CUST_000869,2025-01-12,Processing,Bank Transfer,"43121 Michael Lakes
Lake Christina, UT 27502",1696.6
ORD_00000208,CUST_000993,2024-06-13,Delivered,Credit Card,"25706 Leach Mount Suite 924
Priscillamouth, ME 96986",9421.12
ORD_00000209,CUST_000252,2025-04-04,Delivered,PayPal,"13156 Clark Spring Apt. 242
Brockmouth, PA 95555",5491.1
ORD_00000210,CUST_000294,2025-03-26,Cancelled,Debit Card,"8458 Jeanne Valley Apt. 903
Angelastad, NY 93826",1589.0
ORD_00000211,CUST_000088,2024-11-27,Shipped,PayPal,"750 Travis Cliffs
South Kevin, DE 98267",12777.06
ORD_00000212,CUST_000733,2024-06-08,Delivered,PayPal,"88073 Daugherty Street Suite 970
Wongmouth, OR 93616",75.92
ORD_00000213,CUST_000645,2025-01-19,Processing,Debit Card,"643 Michael Divide
New Mathew, AK 23066",3661.96
ORD_00000214,CUST_000772,2024-07-02,Cancelled,Bank Transfer,"700 Billy Well
East David, AR 47548",1889.71
ORD_00000215,CUST_000807,2024-08-31,Processing,Debit Card,"939 Reyes Trafficway
New Ashleytown, LA 56163",486.67
ORD_00000216,CUST_000822,2024-10-24,Delivered,Bank Transfer,"14782 Lamb Views
Pennyville, WI 16462",7019.45
ORD_00000217,CUST_000941,2025-05-03,Delivered,Bank Transfer,"6506 Murray Meadow
East Stevenborough, DE 56169",795.66
