customer_id,name,email,phone,registration_date,age,gender,location,country,customer_segment,preferred_category
CUST_000033,Tammy Gonzales,sbarker@example.com,288-377-1906x594,2023-11-21,22,F,Port Emilyview,Morocco,Platinum,Sports
CUST_000034,Peter Ruiz,lmoon@example.net,(871)275-6551x25674,2024-05-04,47,Other,Johnnyville,Sierra Leone,Gold,Sports
CUST_000035,Jose Travis,mgutierrez@example.net,(397)270-3482x477,2025-05-18,73,M,Lake Eric,Micronesia,Bronze,Sports
CUST_000036,Jason Walker,murraydavid@example.org,448.346.7737x8263,2023-12-25,66,F,Morganhaven,Ethiopia,Gold,Electronics
CUST_000037,Diane Evans,cgrimes@example.net,855.288.6753x3963,2024-01-25,36,F,Thorntonfurt,Hungary,Silver,Home
CUST_000038,Rebecca Pearson MD,martineztammy@example.com,371-987-0262,2024-12-29,18,Other,Matthewfurt,Pakistan,Gold,Sports
CUST_000039,Gary Craig,ofinley@example.net,001-478-609-1343x16117,2025-03-28,66,M,West Lauraport,Guinea-Bissau,Bronze,Books
CUST_000040,Charles Schmidt,georgemiller@example.com,+1-637-492-3747x407,2023-07-30,71,Other,Vanessaport,Northern Mariana Islands,Silver,Clothing
CUST_000041,Melissa Bryant,james67@example.org,669.259.4406,2024-07-24,41,M,New Julieport,Singapore,Bronze,Sports
CUST_000042,Lisa Gomez,christinebyrd@example.net,001-421-504-7095x21456,2023-09-11,38,F,Alyssaview,Switzerland,Bronze,Electronics
CUST_000043,Thomas Raymond,julie51@example.com,623-368-5160,2024-05-04,77,F,Brendastad,Botswana,Gold,Clothing
CUST_000044,Kaitlyn Harvey,rose31@example.net,446.812.0047x113,2024-05-03,21,M,Matthewsberg,Turks and Caicos Islands,Bronze,Electronics
CUST_000045,Brett Burns,rcrosby@example.org,001-853-677-3515x850,2023-10-23,64,F,Port Madisonland,Panama,Bronze,Sports
CUST_000046,Mark Maddox,buchananjohn@example.org,001-431-283-9335,2023-12-26,67,M,East Amber,South Georgia and the South Sandwich Islands,Silver,Home
CUST_000047,Matthew Johnson,howardkristina@example.net,302-940-2681x17758,2024-06-09,78,Other,Lake Kristahaven,Gabon,Silver,Books
CUST_000048,Victor Brown,bboone@example.net,477-611-5921,2024-09-05,51,Other,Oscarhaven,French Polynesia,Platinum,Clothing
CUST_000049,Larry Garcia,farrelldebra@example.net,001-736-673-6576x6156,2024-03-06,77,Other,Lake Sandra,Bangladesh,Silver,Books
CUST_000050,Bradley Reynolds,lisa80@example.net,+1-685-716-5604,2023-08-21,43,Other,East Diane,Czech Republic,Gold,Home
CUST_000051,Hayley Hawkins,farmeraudrey@example.com,+1-699-680-9402,2025-04-10,75,Other,Adamberg,Mongolia,Platinum,Electronics
CUST_000052,Andrea Figueroa,davisalyssa@example.com,(275)325-4599x10229,2023-12-22,33,M,Tuckermouth,Israel,Bronze,Books
CUST_000053,Paul Wilson,rrodriguez@example.net,001-278-540-3690,2024-01-13,19,Other,Port Derrick,Equatorial Guinea,Silver,Sports
CUST_000054,Bryan Jimenez,ythompson@example.net,001-738-885-1606x071,2024-07-30,32,M,Robertsfurt,Angola,Bronze,Electronics
CUST_000055,Carolyn Meza,xcollier@example.org,(313)369-6816x45352,2024-06-28,32,M,Port Michael,Saint Lucia,Bronze,Books
CUST_000056,Maria Hernandez,thomasjames@example.net,(712)777-9979,2023-09-25,22,Other,South Scottport,South Africa,Silver,Books
CUST_000057,Anthony Romero,steven00@example.com,511-799-8679x8079,2024-08-22,60,F,North Shannon,Sudan,Silver,Sports
CUST_000058,Gwendolyn Klein,benjaminzimmerman@example.com,789.325.5466x59051,2024-07-18,26,Other,Mitchellberg,Grenada,Platinum,Clothing
CUST_000059,Matthew Rangel,tammy62@example.net,001-214-786-5281x685,2024-01-18,68,F,West Stacey,Libyan Arab Jamahiriya,Platinum,Clothing
CUST_000060,Zachary Moore,megan18@example.net,001-980-259-2962x2292,2024-04-02,24,M,South Cheryl,Sao Tome and Principe,Platinum,Books
CUST_000061,Joann Ferguson,tammy73@example.com,+1-297-974-6886x23924,2025-03-06,45,F,Lake Meghanville,Finland,Platinum,Electronics
CUST_000062,Christopher Cole,mariahdavis@example.org,550.260.6853x615,2024-01-25,61,Other,Port Jennifermouth,Somalia,Bronze,Electronics
CUST_000063,Andrew Lowery,ihorton@example.net,379.601.0432x8986,2023-11-27,43,Other,North Johnmouth,Bahrain,Gold,Electronics
CUST_000064,Taylor Carlson,chenbailey@example.net,(446)309-5396,2024-06-23,33,M,Carloshaven,Mayotte,Silver,Sports
CUST_000065,Virginia Spencer,cmarks@example.net,(754)705-1531x9520,2025-01-21,46,M,Port Kimberly,Kyrgyz Republic,Platinum,Clothing
CUST_000066,Mrs. Catherine Taylor,mjohnson@example.org,205.548.6874,2024-01-02,35,F,Port Dianaview,British Virgin Islands,Silver,Electronics
CUST_000067,Jessica Ross,ykline@example.com,(877)458-4161,2024-07-09,46,Other,Curtismouth,Panama,Bronze,Electronics
CUST_000068,Jeremy Robbins,hannahbell@example.org,001-959-264-0165x8202,2023-09-07,59,Other,Port Deanna,Guyana,Bronze,Electronics
CUST_000069,Keith Jacobs,xrush@example.com,001-819-328-5654x31027,2023-12-15,77,M,Janeborough,New Zealand,Silver,Home
CUST_000070,Thomas Henry,taylorcharles@example.org,001-771-555-1884x422,2023-09-03,49,F,Port Dominic,Somalia,Silver,Home
CUST_000071,Isaac Armstrong MD,cherylmiller@example.com,(778)466-9125x1778,2025-03-09,75,M,Port Tammy,Jersey,Silver,Home
CUST_000072,Sheena Guerra,kevinmartin@example.net,458.641.4384,2024-08-29,18,F,New Danielleshire,Western Sahara,Gold,Home
CUST_000073,Carolyn Weber,megan90@example.org,909-643-9690,2024-09-18,36,F,Timothyfurt,French Southern Territories,Platinum,Clothing
CUST_000074,Michael Moore,nwashington@example.com,+1-525-955-6258x815,2023-09-04,30,F,Wrightville,Australia,Silver,Electronics
CUST_000075,James Gilbert,sydneybarrera@example.com,001-953-227-8774,2023-08-11,55,Other,Wagnerbury,Cuba,Bronze,Books
CUST_000076,Amber Campbell,amitchell@example.org,(624)356-5060x98358,2024-03-15,21,M,Duranview,Sweden,Platinum,Sports
CUST_000077,Melanie Wilson DVM,vbrooks@example.net,(923)998-6800x025,2023-09-23,76,Other,West Sarah,Ghana,Silver,Electronics
CUST_000078,William Stevenson,brittney88@example.net,994.670.5516x9409,2025-05-13,79,Other,Lake Brett,Lesotho,Bronze,Clothing
CUST_000079,Mark Harvey,rhernandez@example.org,8915307562,2024-04-01,22,Other,Salaston,Romania,Bronze,Clothing
CUST_000080,Daniel Nguyen,ufox@example.org,685.585.4973x348,2025-04-25,43,M,Kellieborough,Portugal,Silver,Sports
CUST_000081,Emily Bailey,keith98@example.com,(652)640-4157x4733,2023-09-15,56,M,East Brent,United Kingdom,Bronze,Home
CUST_000082,Margaret Williams,erivera@example.org,+1-520-282-6773x45401,2025-04-04,60,Other,South Nicole,Christmas Island,Gold,Books
CUST_000083,Amanda Huff,vlopez@example.com,9044991547,2025-02-18,31,Other,Nelsonville,Greenland,Gold,Clothing
CUST_000084,Jimmy Scott,alexisrogers@example.com,001-832-396-6851,2023-10-20,34,F,South Marcus,Egypt,Silver,Books
CUST_000085,James Griffin,stephanie49@example.net,001-404-853-0174,2024-10-20,47,F,Hannahport,Heard Island and McDonald Islands,Bronze,Electronics
CUST_000086,Colleen Anderson,spencerzhang@example.com,(387)283-3918x78519,2025-02-01,47,Other,New Amanda,Chad,Bronze,Electronics
CUST_000087,Joseph Wilson,jenniferburns@example.net,207.828.6790x874,2023-12-10,52,M,Lake Jefferyland,Aruba,Gold,Clothing
CUST_000088,Michael Weaver,michaelcesar@example.com,8468226567,2023-08-04,77,F,Lake Michelle,British Indian Ocean Territory (Chagos Archipelago),Bronze,Clothing
CUST_000089,Joshua Rice,maryavila@example.com,386.286.3375x243,2025-01-18,41,F,Mendeztown,Dominican Republic,Silver,Home
CUST_000090,Brian Johnson,sanchezbradley@example.com,783.702.8439,2023-11-27,71,Other,Lake Adriana,Isle of Man,Gold,Sports
CUST_000091,Antonio Fry,conniesimmons@example.com,8564856624,2024-12-09,80,Other,Allenbury,French Southern Territories,Bronze,Sports
CUST_000092,Brianna Ford,harttammy@example.net,626.834.3517x51830,2024-10-11,37,Other,Port Charlesshire,Saint Kitts and Nevis,Bronze,Clothing
CUST_000093,Claire Clark,kevin03@example.org,001-717-639-3638x5467,2023-12-15,34,M,Owensfort,Senegal,Bronze,Sports
CUST_000094,Suzanne Wood,owilliams@example.net,(504)789-9642,2023-11-22,27,F,South Andrea,Western Sahara,Gold,Sports
CUST_000095,Dawn Underwood,umurray@example.com,(328)272-8080,2024-12-16,31,Other,Taylorbury,Bangladesh,Gold,Clothing
CUST_000096,Alexa Wagner,bruce97@example.net,800.488.6008x4840,2023-08-24,61,Other,New Eduardoborough,Niger,Gold,Sports
CUST_000097,Robin Adams,zmiller@example.com,001-833-941-0166,2023-07-18,49,F,Lake Georgefort,Tanzania,Bronze,Electronics
CUST_000098,Richard Knight,jacobsonsamantha@example.org,297.440.1489,2025-04-15,58,F,Alexisborough,Namibia,Gold,Electronics
CUST_000099,Robert Nicholson,evansanne@example.net,(785)862-1850x1631,2025-05-15,18,F,Anthonyview,Slovenia,Silver,Books
CUST_000100,Katherine Kelly DVM,llopez@example.net,(719)343-1142x6265,2023-08-12,28,Other,Seanview,Bosnia and Herzegovina,Platinum,Sports
CUST_000101,Cody Cole,fgarcia@example.com,+1-819-395-6046,2024-11-17,63,F,New Adriana,Poland,Bronze,Electronics
CUST_000102,Charles Turner,kthomas@example.com,964-371-5437x993,2023-09-14,22,Other,South Martinfurt,Spain,Silver,Sports
CUST_000103,Jessica Jordan,kevinmorrison@example.net,575.726.5479,2024-03-07,20,F,Diazshire,Cook Islands,Silver,Home
CUST_000104,Kimberly Maldonado,bentonsteven@example.net,674.416.7243,2024-11-10,26,M,Jonesfort,Myanmar,Gold,Books
CUST_000105,Jonathon Knapp,ystephens@example.com,001-789-811-3529x096,2023-08-23,75,M,West Jeffreyhaven,Moldova,Gold,Clothing
CUST_000106,Laura Griffin,rford@example.net,001-782-650-7146x112,2024-02-12,61,M,New Timothy,Lebanon,Bronze,Books
CUST_000107,Nathan Chavez,evanslisa@example.org,7518238282,2025-05-07,67,Other,Port Richard,Colombia,Platinum,Sports
CUST_000108,Matthew Foster,shannonjordan@example.org,001-933-341-9182x553,2023-12-15,65,M,Rosemouth,Nepal,Silver,Clothing
CUST_000109,James Wilson,megan92@example.net,001-749-491-2513x412,2024-06-14,80,M,Carlsonshire,Hungary,Platinum,Electronics
CUST_000110,John Medina,angelaburns@example.org,(557)890-5072,2025-05-11,29,Other,Ortizfort,Israel,Gold,Home
CUST_000111,Jill Jackson,flynnjeffrey@example.org,338-642-7978x819,2024-12-24,69,Other,Amberton,Senegal,Silver,Books
CUST_000112,Kimberly Fritz,fitzgeralddesiree@example.org,807-445-1713x3959,2024-08-30,28,Other,Port Jamie,Bahamas,Bronze,Home
CUST_000113,Kim Carlson,mariopadilla@example.com,001-448-512-6042,2023-09-21,73,M,Mariafurt,Liechtenstein,Platinum,Clothing
CUST_000114,Mark Burton,ohayes@example.org,(884)557-7590x1751,2025-05-14,30,F,South Joseph,Switzerland,Gold,Books
CUST_000115,Joshua Anderson,rkramer@example.org,8175012770,2025-06-03,70,M,Lake Kevin,Tunisia,Silver,Electronics
CUST_000116,Denise Pena,christopher20@example.com,+1-943-261-1037x1293,2023-06-12,60,M,Lisachester,Puerto Rico,Platinum,Books
CUST_000117,Benjamin Reyes,garciamichael@example.com,(462)921-8909,2024-02-18,35,M,Lake Kaitlin,Uruguay,Gold,Books
CUST_000118,Michael Heath,mosleydonald@example.org,001-565-665-2341,2024-12-27,59,Other,Port Melanieport,Costa Rica,Platinum,Sports
CUST_000119,Katrina Adkins,debbie37@example.com,437-891-8055,2025-02-25,39,M,Diazburgh,Serbia,Bronze,Books
CUST_000120,William Jones,smithjason@example.org,(384)686-6618x8924,2023-08-03,29,Other,Port Eric,Greece,Gold,Electronics
CUST_000121,Mark Davenport,collinssamuel@example.org,6314617990,2023-09-02,24,Other,Lake Alexander,Luxembourg,Platinum,Books
CUST_000122,Kelly Logan,gary24@example.net,305-964-8149,2024-05-04,64,F,Brianshire,Chad,Platinum,Sports
CUST_000123,David Garcia,perezwilliam@example.org,8305756220,2024-01-28,80,Other,Moonmouth,Faroe Islands,Bronze,Home
CUST_000124,Laura Wilson,whitelinda@example.org,(617)544-5187x0534,2024-05-11,75,Other,Cuevasborough,Saint Martin,Silver,Books
CUST_000125,Paige Sanchez,randolphandrew@example.net,(205)406-4138x367,2024-11-08,20,Other,North Samanthahaven,Isle of Man,Platinum,Electronics
CUST_000126,Jacqueline Villegas,carpenterwilliam@example.net,(719)990-6234x4565,2023-12-22,51,Other,East Derekshire,Botswana,Silver,Books
CUST_000127,Christopher Owens,wmartinez@example.org,447.341.1249x035,2024-11-07,45,M,Randyton,Philippines,Gold,Sports
CUST_000128,Robert Thompson,jbond@example.net,+1-531-471-2100,2023-10-29,38,Other,Watsonland,Myanmar,Bronze,Books
CUST_000129,Sylvia Jones,gonzalezdebbie@example.org,851-907-0296,2023-06-28,50,F,Thompsonborough,United States of America,Platinum,Books
CUST_000130,Douglas Stephenson,mendezchristina@example.net,576-287-0146x2638,2025-05-30,43,Other,Timothyfort,Guatemala,Gold,Sports
CUST_000131,Kathryn Price,anthonyharper@example.org,001-240-578-5932x13348,2024-07-31,26,M,Kellyburgh,Christmas Island,Platinum,Home
CUST_000132,Evan Rojas,robin05@example.net,001-229-337-8427,2023-07-18,61,Other,North Alisha,Afghanistan,Silver,Sports
CUST_000133,Lucas Drake,jennifer50@example.org,(392)718-5156,2024-01-13,54,F,East Jessica,Jordan,Platinum,Sports
CUST_000134,Toni Banks,jasminehoffman@example.net,(239)426-4422x096,2024-08-20,71,M,Lake Ariana,Vietnam,Gold,Books
CUST_000135,Gary Miller MD,gary15@example.com,2438315410,2024-04-22,31,F,Costachester,Lithuania,Gold,Home
CUST_000136,Heather Bennett,kkramer@example.net,001-832-471-0405x41152,2024-11-23,46,F,West Brookefort,Romania,Silver,Sports
CUST_000137,Tommy Martin,gmoore@example.com,336.288.4443,2024-03-20,48,Other,Hernandezstad,Afghanistan,Silver,Electronics
CUST_000138,Edward Stanley,bgonzalez@example.org,(641)371-4677,2024-09-18,36,Other,Lopezfurt,Heard Island and McDonald Islands,Gold,Electronics
CUST_000139,Andrew Gonzales,jeremy49@example.org,(211)858-6938,2025-01-25,70,M,Sheppardfort,Montserrat,Gold,Clothing
CUST_000140,Karen Miller,shawrachel@example.net,+1-592-417-2233x20616,2025-02-05,69,M,Luisland,Benin,Silver,Electronics
CUST_000141,James Nguyen,april09@example.net,761.862.2999x11914,2023-12-17,20,M,Armstrongfort,Argentina,Platinum,Sports
CUST_000142,Jamie Montgomery,vwilliams@example.net,607.945.0544,2025-02-23,72,M,Port Jeremyport,Samoa,Platinum,Home
CUST_000143,Roger Adams,fjacobs@example.org,836.478.5082x148,2024-12-28,74,Other,East Jamesborough,Taiwan,Silver,Home
CUST_000144,Andrew Williams,janet45@example.com,761.403.5797x27985,2025-02-08,49,F,Kaitlynland,Finland,Silver,Clothing
CUST_000145,Anthony Nash,mercedesholland@example.net,246.580.0722,2023-12-08,59,Other,Jenniferview,Jamaica,Bronze,Electronics
CUST_000146,Sarah Stevens,stevenbyrd@example.net,(391)708-5899x4417,2025-05-29,67,F,Michelleview,Palau,Silver,Clothing
CUST_000147,Stephanie Evans,zacharyallen@example.org,+1-565-720-7446x660,2024-11-19,69,Other,Lake Amanda,Slovenia,Platinum,Electronics
CUST_000148,Todd Howard,megan82@example.com,772-548-2513,2024-12-02,53,M,Robertmouth,Holy See (Vatican City State),Bronze,Home
CUST_000149,Edward York,obrown@example.net,001-691-873-8168,2023-07-16,26,F,East Victoria,Guam,Gold,Home
CUST_000150,Keith Knox,tthomas@example.org,001-917-352-5007x43292,2023-09-09,57,Other,Schultzfurt,Japan,Platinum,Sports
CUST_000151,Janet Johnson,jessicadodson@example.com,001-683-400-3354x21689,2023-07-24,46,M,West Stacymouth,Saint Lucia,Platinum,Home
CUST_000152,Kelly Hamilton,matthewvalenzuela@example.com,001-732-260-3323x09821,2024-03-07,34,M,Kelseyton,Nepal,Gold,Sports
CUST_000153,Mary Valdez MD,butleromar@example.net,472-830-4618x499,2025-02-03,49,Other,New Jenniferville,Finland,Silver,Books
CUST_000154,Brian Gonzalez,kimberlydecker@example.org,(264)320-8737x530,2025-03-30,46,M,Hernandezland,Slovakia (Slovak Republic),Gold,Clothing
CUST_000155,Misty Garcia,dawn74@example.com,201.420.4556x110,2024-10-03,35,F,West Michael,Kazakhstan,Gold,Sports
CUST_000156,Debra Quinn,lisa21@example.com,(974)967-6212x0216,2023-10-17,23,M,Maxwelltown,Tokelau,Silver,Clothing
CUST_000157,Sara Mcpherson,timothyfreeman@example.com,301.845.0899x358,2024-10-02,42,Other,South Michael,Philippines,Silver,Clothing
CUST_000158,Brittany Serrano,smithsarah@example.net,872.817.5354x0838,2025-01-24,22,F,South Seanshire,Kiribati,Platinum,Books
CUST_000159,Jonathan Stewart,bmcgee@example.org,(960)788-0199x4883,2024-02-27,52,F,Port Jeffreymouth,Greenland,Platinum,Electronics
CUST_000160,Lisa Kennedy,jennifer11@example.net,205.454.8851,2024-05-31,31,F,Rodriguezborough,Comoros,Platinum,Sports
CUST_000161,Samuel Lewis,jenniferrodriguez@example.com,2912779827,2024-07-15,78,Other,Robersonfort,Uzbekistan,Bronze,Sports
CUST_000162,Tammy Thompson,jessicaanderson@example.com,+1-499-458-6693x46547,2024-04-03,42,F,Meganside,Tokelau,Bronze,Books
CUST_000163,Norman Spencer,jamesweber@example.com,+1-652-828-8515x87996,2025-01-17,37,F,North Oscarton,Paraguay,Platinum,Sports
CUST_000164,Derek Floyd,frances20@example.net,638-205-7198x3863,2025-04-14,65,Other,Butlermouth,Micronesia,Silver,Home
CUST_000165,Patrick Harris,ogreer@example.net,001-459-389-3347x212,2024-03-08,32,F,Ramirezview,Bulgaria,Platinum,Home
CUST_000166,Ryan Smith,jmckinney@example.org,(759)309-4798,2024-12-31,19,F,Aliciaburgh,Mali,Gold,Home
CUST_000167,Jonathan Perry,odavis@example.org,+1-555-554-3987x80157,2025-05-07,64,M,Patrickville,Hungary,Platinum,Clothing
CUST_000168,Nathaniel Johnson,willie87@example.com,2433581128,2023-11-08,80,Other,Port Gina,Syrian Arab Republic,Bronze,Home
CUST_000169,Joshua Park,elucas@example.net,+1-520-675-0110x24819,2024-03-30,55,Other,Mccoychester,Germany,Bronze,Electronics
CUST_000170,Michael Nichols,avilabrenda@example.net,958-814-4914,2024-03-21,59,F,South Ericbury,Burkina Faso,Silver,Home
CUST_000171,Rebecca Atkinson,susan24@example.net,001-350-688-2100x9968,2023-11-07,29,M,Jasonhaven,Cambodia,Gold,Home
CUST_000172,Daniel Davenport,dannylambert@example.net,5879814141,2025-05-02,38,M,Davidbury,Bolivia,Platinum,Books
CUST_000173,Benjamin Lee,nhayes@example.net,892-699-5562x0533,2025-02-10,39,F,Lake Jessica,Turkey,Gold,Home
CUST_000174,Jeremy Hampton,larnold@example.net,+1-814-528-3411x080,2025-03-30,34,M,Amyside,Latvia,Platinum,Electronics
CUST_000175,Brittany Long,dennis88@example.org,(458)903-9282x7229,2025-04-23,65,Other,East Kathleenbury,Bahrain,Bronze,Books
CUST_000176,David Barnett,paul70@example.org,+1-351-684-4989x2665,2024-03-08,32,Other,New Richard,Svalbard & Jan Mayen Islands,Bronze,Electronics
CUST_000177,Katelyn Olson,shawdon@example.org,318.543.2225,2024-04-05,66,M,Jenniferfort,Peru,Silver,Clothing
CUST_000178,Daniel Martin,cjohnson@example.org,001-492-628-0920,2025-04-11,71,M,Greeneshire,Northern Mariana Islands,Silver,Clothing
CUST_000179,Nathan Stanley,stacey37@example.net,772.936.9292x9842,2024-08-16,26,F,East Nicholasberg,Botswana,Bronze,Sports
CUST_000180,Joseph Blankenship,mserrano@example.org,(979)490-8811,2025-03-27,78,M,Port Erikachester,Mali,Platinum,Books
CUST_000181,Shaun Wolfe,zperez@example.com,001-865-699-1624x73149,2023-10-23,67,F,New Alexandrahaven,Albania,Silver,Sports
CUST_000182,Daniel Brock,jcox@example.com,+1-994-448-6959x4636,2024-03-03,56,Other,Kingport,Morocco,Bronze,Clothing
CUST_000183,Michael Fitzgerald,adkinssean@example.net,(413)886-5890,2025-05-12,79,F,Port Christopherberg,Latvia,Bronze,Sports
CUST_000184,Jessica Brown,nathanlynch@example.net,(669)584-9027x7038,2023-07-01,19,F,New Gavin,Argentina,Platinum,Home
CUST_000185,Matthew Cantrell,sheakimberly@example.com,+1-766-693-8011x84895,2023-11-19,78,Other,South Sarah,Morocco,Silver,Electronics
CUST_000186,Christopher Hunter,gordonmatthew@example.org,248.994.7697x35779,2023-08-30,55,Other,South Cynthiabury,Philippines,Silver,Electronics
CUST_000187,Rebecca Gutierrez,zachary04@example.org,416-551-8275x5394,2024-06-05,62,F,East Jill,Tunisia,Bronze,Sports
CUST_000188,Daryl Conley,eric11@example.org,+1-479-608-0759x57947,2024-03-23,68,M,North Alicia,Jamaica,Gold,Sports
CUST_000189,Joshua Shaw,xdalton@example.org,718.675.0036x915,2023-10-21,45,Other,Joelfort,New Zealand,Gold,Electronics
CUST_000190,Clinton Coleman,xhaynes@example.com,(847)529-2931x4386,2023-09-21,50,Other,South Linda,Christmas Island,Gold,Electronics
CUST_000191,Chad Barry,kristen44@example.net,001-306-912-0347,2024-12-02,72,F,Michaelside,Moldova,Platinum,Electronics
CUST_000192,Deanna Smith,bellerin@example.net,999.982.4558,2025-03-18,45,F,Austinmouth,Norfolk Island,Platinum,Clothing
CUST_000193,Sheena Davidson,robert99@example.com,812-653-5544,2025-03-16,45,M,Juliehaven,Korea,Gold,Sports
CUST_000194,Clinton Johnson,ebonyshepard@example.net,001-313-326-1117x8006,2023-12-15,69,Other,North Diana,Turks and Caicos Islands,Platinum,Home
CUST_000195,Dave Rojas,isims@example.net,(900)455-7784,2025-05-15,45,Other,New Carla,Norfolk Island,Gold,Books
CUST_000196,Sherry Graham,regina78@example.org,274-456-4240,2024-02-13,72,M,Nicholsfort,Yemen,Bronze,Books
CUST_000197,Elizabeth Cannon,carla08@example.com,568.666.3266,2023-08-03,74,F,New Kathy,United States of America,Silver,Home
CUST_000198,Melissa Nelson,robert12@example.org,217-497-4973x5020,2025-05-17,54,Other,Josephmouth,Saint Lucia,Platinum,Books
CUST_000199,Brandon Smith,matthewcollins@example.com,(470)551-2046x187,2025-03-22,19,F,Lisatown,British Virgin Islands,Gold,Clothing
CUST_000200,Michelle Cruz,cwright@example.org,318.637.6452x088,2024-05-23,49,M,Jameston,Tonga,Gold,Books
CUST_000201,Valerie Young,knguyen@example.com,001-416-730-0979,2024-12-21,39,F,East Vincent,Poland,Gold,Sports
CUST_000202,Tara Shea,browndeanna@example.net,+1-512-273-5857,2024-10-22,18,Other,Jenniferview,United Arab Emirates,Silver,Electronics
CUST_000203,Michael Hansen,llopez@example.net,(657)749-8218x274,2024-05-03,33,Other,Grosstown,Niger,Platinum,Home
